Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Gary Trent,,O,SG,3700,POR,CHI,1,117,,,105,106,-4%,6,4,3,14,10,9,9.4,6.6,-1.1,14.4,0.0,0.0,0.0,0,0.0,0.0
Edmond Sumner,,O,PG,3700,IND,ATL,1,117,,,106,111,-5%,6,6,6,22,22,22,16.9,16.9,13.2,20.6,0.0,0.0,0.0,0,0.0,0.0
Justin Holiday,0,,SF,3700,IND,ATL,1,117,14,11,106,111,9%,4,7,7,18,25,25,22.0,18.2,9.2,27.2,17.0,12.2,3.3,23.2,33.7,9.1
Troy Brown,1,,SF,3700,WAS,@LAL,1,113,16,12,103,100,-3%,7,6,6,19,18,21,13.8,17.7,8.6,26.9,21.0,16.3,4.4,19.8,28.9,7.8
Markieff Morris,,,SF,3600,DET,CHA,1,111,20,12,102,110,16%,6,8,9,17,20,24,17.5,19.1,11.3,26.8,17.0,14.2,3.9,16.3,16.7,4.6
Jalen Brunson,,,PG,3600,DAL,@PHO,2,117,21,16,105,106,1%,4,5,6,8,13,17,13.5,15.9,7.3,24.5,12.0,10.7,3.0,9.1,9.2,2.6
Kent Bazemore,0,,SF,3600,POR,CHI,1,117,18,8,105,106,-4%,4,5,7,22,21,23,15.2,19.0,10.3,27.6,20.0,17.1,4.8,16.1,11.4,3.2
John Henson,,O,PF,3600,CLE,MIL,1,109,,,108,101,-7%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Nassir Little,,,SF,3600,POR,CHI,1,117,14,10,105,106,16%,2,3,5,14,16,16,15.1,12.6,2.3,23.0,13.5,11.6,3.2,10.9,4.9,1.4
Georges Niang,,,PF,3600,UTA,@MEM,1,115,16,9,107,110,14%,8,4,3,17,10,10,8.5,6.2,-0.5,12.9,0.0,0.0,0.0,0,0.0,0.0
Damyean Dotson,,,SG,3600,NYK,PHI,1,102,18,9,102,102,-8%,7,7,5,16,17,14,12.1,9.7,3.0,16.5,12.5,8.6,2.4,19.5,14.5,4.0
Frank Jackson,,,PG,3600,NOR,@OKC,1,112,23,10,102,106,-2%,4,4,8,10,14,17,5.9,13.1,4.7,21.5,11.5,8.3,2.3,7.1,1.7,0.5
Derrick Jones Jr.,,O,SF,3600,MIA,GSW,1,111,,,104,111,0%,6,5,5,13,14,14,11.9,11.9,5.2,18.6,0.0,0.0,0.0,0,0.0,0.0
Mike Scott,1,,PF,3600,PHI,@NYK,1,108,13,10,100,110,0%,6,6,6,22,22,20,12.3,12.7,7.8,17.6,24.0,16.0,4.4,21.9,7.5,2.1
Allen Crabbe,,,SG,3600,ATL,@IND,1,106,14,9,102,101,5%,7,6,6,22,22,19,12.4,12.5,8.2,16.9,21.0,14.3,4.0,10.4,2.4,0.7
Tyus Jones,,,PG,3600,MEM,UTA,1,108,20,11,103,101,-2%,4,5,7,13,15,19,10.6,16.1,7.5,24.7,15.5,13.1,3.6,17,3.9,1.1
Chandler Hutchison,,O,SF,3600,CHI,@POR,1,110,18,11,105,109,7%,5,5,6,15,19,19,14.8,15.6,8.7,22.5,0.0,0.0,0.0,0,0.0,0.0
Jeff Green,,,PF,3600,UTA,@MEM,1,115,19,9,107,110,14%,6,7,6,20,20,19,17.5,13.6,7.6,19.7,16.5,12.4,3.4,15.8,13.8,3.8
Rodney McGruder,,O,SG,3600,LAC,@SAS,1,116,11,6,103,112,0%,6,5,4,23,19,17,13.4,9.0,0.9,17.1,0.0,0.0,0.0,0,0.0,0.0
Trey Lyles,,,PF,3600,SAS,LAC,1,111,11,12,105,103,-11%,2,2,3,11,11,18,8.6,14.5,8.2,20.9,13.5,10.8,3.0,16.9,22.3,6.2
Meyers Leonard,,,C,3600,MIA,GSW,1,111,12,12,104,111,9%,4,3,4,16,17,19,9.6,14.1,3.1,25.2,16.0,12.8,3.6,16.1,7.5,2.1
Dennis Smith Jr.,,,PG,3600,NYK,PHI,1,102,24,6,102,102,-6%,9,8,6,21,18,16,15.6,11.6,2.6,20.7,15.0,12.6,3.5,14.1,6.6,1.8
Damion Lee,,O,SG,3600,GSW,@MIA,1,99,21,13,103,101,-6%,9,10,9,22,26,24,19.9,19.7,9.7,29.7,0.0,0.0,0.0,0,0.0,0.0
Boban Marjanovic,,,C,3600,DAL,@PHO,2,117,24,18,105,106,3%,6,6,6,13,15,13,15.7,13.9,5.5,22.2,0.0,0.0,0.0,0,0.0,0.0
James Ennis,3,,SF,3600,PHI,@NYK,1,108,16,15,100,110,-7%,4,5,5,12,17,16,13.4,13.1,6.2,20.0,23.5,17.4,4.8,21.6,30.8,8.6
Courtney Lee,,,SG,3600,DAL,@PHO,2,117,,,105,106,-9%,4,3,3,10,9,9,7.4,7.4,0.1,14.6,0.0,0.0,0.0,0,0.0,0.0
Naz Long,,O,SG,3600,IND,ATL,1,117,,,106,111,9%,8,5,5,20,14,14,11.9,11.9,2.8,21.0,0.0,0.0,0.0,0,0.0,0.0
B.J. Johnson,,,SF,3500,ORL,TOR,1,103,,,104,100,14%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Jarrell Brantley,,O,SF,3500,UTA,@MEM,1,115,,,107,110,4%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Dewan Hernandez,,O,PF,3500,TOR,@ORL,1,106,,,100,103,-3%,1,1,1,4,4,4,4.4,4.4,-1.8,10.6,0.0,0.0,0.0,0,0.0,0.0
Ryan Broekhoff,,,PF,3500,DAL,@PHO,2,117,,,105,106,1%,4,2,2,10,6,6,6.1,6.1,-1.6,13.8,0.0,0.0,0.0,0,0.0,0.0
Deonte Burton,,,SG,3500,OKC,NOR,1,117,,,107,111,9%,5,5,3,11,11,8,8.5,6.0,0.0,12.1,0.0,0.0,0.0,9.7,7.6,2.2
Drew Eubanks,,,C,3500,SAS,LAC,1,111,,,105,103,3%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0
Norvel Pelle,,,PF,3500,PHI,@NYK,1,108,,,100,110,-6%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,16.9,4.8
Zion Williamson,,O,PF,3500,NOR,@OKC,1,112,,,102,106,-7%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Jordan Bone,,O,PG,3500,DET,CHA,1,111,,,102,110,-3%,2,2,2,2,2,2,0.7,0.7,-2.2,3.6,0.0,0.0,0.0,0,0.0,0.0
Theo Pinson,,,SG,3500,BKN,BOS,1,104,23,5,102,101,-14%,7,6,7,17,19,17,12.5,12.1,7.7,16.4,16.0,13.8,3.9,17,11.3,3.2
Brandon Goodwin,,O,PG,3500,ATL,@IND,1,106,,,102,101,-6%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Terance Mann,,,SG,3500,LAC,@SAS,1,116,15,10,103,112,11%,2,2,2,8,8,8,3.7,5.9,-3.2,15.1,0.0,0.0,0.0,3.8,5.7,1.6
KZ Okpala,,O,SF,3500,MIA,GSW,1,111,,,104,111,1%,0,0,0,1,1,1,0.1,0.1,0.0,0.2,0.0,0.0,0.0,0,0.0,0.0
Cameron Reynolds,,O,SG,3500,MIL,@CLE,1,121,,,102,110,9%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Yuta Watanabe,,O,SG,3500,MEM,UTA,1,108,,,103,101,-2%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Daryl Macon,,O,PG,3500,MIA,GSW,1,111,,,104,111,9%,2,1,1,6,4,4,0.8,0.8,-1.1,2.7,0.0,0.0,0.0,0,0.0,0.0
Chris Chiozza,,,PG,3500,WAS,@LAL,1,113,,,103,100,-4%,2,3,3,9,12,12,10.1,10.1,0.9,19.3,0.0,0.0,0.0,5.4,-1.0,-0.3
Grant Williams,,,PF,3500,BOS,@BKN,1,109,12,4,106,106,3%,2,3,3,6,14,15,4.8,8.8,1.8,15.8,10.5,7.5,2.1,8.7,8.0,2.3
Mfiondu Kabengele,,O,SF,3500,LAC,@SAS,1,116,,,103,112,2%,3,2,2,4,4,4,4.9,4.9,-1.1,10.9,0.0,0.0,0.0,0,0.0,0.0
Garrison Mathews,,,SG,3500,WAS,@LAL,1,113,,,103,100,-4%,1,1,1,7,7,7,1.6,1.6,1.5,1.7,0.0,0.0,0.0,0,0.0,0.0
Nigel Williams-Goss,,,PG,3500,UTA,@MEM,1,115,,,107,110,9%,1,1,1,2,2,2,0.1,0.1,-0.9,1.2,0.0,0.0,0.0,0,0.0,0.0
Max Strus,,,SF,3500,CHI,@POR,1,110,,,105,109,9%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0
Javonte Green,,,SG,3500,BOS,@BKN,1,109,,,106,106,3%,1,3,3,5,7,7,7.2,5.5,-0.8,11.8,0.0,0.0,0.0,3.7,1.0,0.3
Caleb Martin,,O,SF,3500,CHA,@DET,1,103,,,102,107,4%,1,3,3,4,8,8,6.8,6.8,-3.8,17.3,0.0,0.0,0.0,0,0.0,0.0
Tacko Fall,,O,C,3500,BOS,@BKN,1,109,,,106,106,6%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Amir Coffey,,O,PF,3500,LAC,@SAS,1,116,,,103,112,2%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Zach Norvell,,O,SG,3500,LAL,WAS,1,124,,,107,113,6%,1,1,1,2,2,2,0.6,0.6,-0.2,1.4,0.0,0.0,0.0,0,0.0,0.0
Luguentz Dort,,,SG,3500,OKC,NOR,1,117,,,107,111,9%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Shamorie Ponds,,O,PG,3500,TOR,@ORL,1,106,,,100,103,-5%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Justin Robinson,,O,PG,3500,WAS,@LAL,1,113,,,103,100,-4%,1,1,1,1,3,3,2.4,2.4,-2.4,7.2,0.0,0.0,0.0,0,0.0,0.0
Thanasis Antetokounmpo,,O,SF,3500,MIL,@CLE,1,121,,,102,110,11%,1,1,1,3,4,4,2.3,2.3,-1.2,5.8,0.0,0.0,0.0,0,0.0,0.0
John Konchar,,O,SG,3500,MEM,UTA,1,108,,,103,101,-2%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Josh Reaves,,O,SG,3500,DAL,@PHO,2,117,,,105,106,1%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Marko Guduric,,,SG,3500,MEM,UTA,1,108,18,8,103,101,-2%,3,5,5,9,12,16,7.1,10.8,3.0,18.6,10.5,7.3,2.1,12.4,8.6,2.5
Charles Brown,,O,SG,3500,ATL,@IND,1,106,,,102,101,-9%,1,1,1,3,4,4,3.4,3.4,2.4,4.4,0.0,0.0,0.0,0,0.0,0.0
Juwan Morgan,,,PF,3500,UTA,@MEM,1,115,,,107,110,4%,0,0,0,3,3,3,1.2,1.2,1.2,1.2,0.0,0.0,0.0,0,0.0,0.0
Louis King,,O,SF,3500,DET,CHA,1,111,,,102,110,16%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Zylan Cheatham,,O,PF,3500,NOR,@OKC,1,112,,,102,106,-7%,2,2,2,10,10,10,3.0,3.0,-1.3,7.4,0.0,0.0,0.0,0,0.0,0.0
Jared Harper,,O,PG,3500,PHO,DAL,1,115,,,103,108,-5%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Robert Franks,,O,SF,3500,CHA,@DET,1,103,,,102,107,8%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Moses Brown,,,C,3500,POR,CHI,1,117,,,105,106,21%,3,2,2,5,4,4,5.2,5.2,1.0,9.4,0.0,0.0,0.0,0,0.0,0.0
Tyler Cook,,O,PF,3500,CLE,MIL,1,109,,,108,101,-7%,1,1,1,3,3,3,3.8,3.3,1.1,5.6,0.0,0.0,0.0,0,0.0,0.0
Jaylen Hoard,,,SF,3500,POR,CHI,1,117,,,105,106,16%,1,1,1,5,4,4,3.8,3.8,1.3,6.3,0.0,0.0,0.0,0,0.0,0.0
Jalen Lecque,,O,PG,3500,PHO,DAL,1,115,,,103,108,-5%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Chris Silva,,,PF,3500,MIA,GSW,1,111,18,17,104,111,9%,5,3,2,17,15,10,14.8,11.7,3.9,19.6,0.0,0.0,0.0,17.8,24.1,6.9
Oshae Brissett,,,SF,3500,TOR,@ORL,1,106,,,100,103,-3%,1,1,1,4,4,4,2.9,2.9,0.0,5.8,0.0,0.0,0.0,0,0.0,0.0
Dean Wade,,O,PF,3500,CLE,MIL,1,109,,,108,101,-7%,1,1,1,5,6,6,2.8,2.8,0.1,5.5,0.0,0.0,0.0,0,0.0,0.0
Adam Mokoka,,O,SG,3500,CHI,@POR,1,110,,,105,109,-2%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Ignas Brazdeikis,,,SF,3500,NYK,PHI,1,102,,,102,102,-11%,2,2,2,6,5,5,2.3,2.3,0.0,4.7,0.0,0.0,0.0,0,0.0,0.0
Carsen Edwards,,,PG,3500,BOS,@BKN,1,109,20,9,106,106,10%,4,4,5,10,11,12,5.5,8.7,0.6,16.8,0.0,0.0,0.0,13.6,15.8,4.5
Talen Horton-Tucker,,O,SG,3500,LAL,WAS,1,124,,,107,113,6%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Dylan Windler,,O,SG,3500,CLE,MIL,1,109,,,108,101,7%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Isaiah Roby,,O,PF,3500,DAL,@PHO,2,117,,,105,106,6%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Ty Jerome,,O,SG,3500,PHO,DAL,1,115,,,103,108,-5%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Marial Shayok,,,SG,3500,PHI,@NYK,1,108,,,100,110,0%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Miye Oni,,,SG,3500,UTA,@MEM,1,115,,,107,110,9%,0,0,0,2,2,2,-0.5,-0.5,-1.2,0.2,0.0,0.0,0.0,0,0.0,0.0
Romeo Langford,,O,SG,3500,BOS,@BKN,1,109,,,106,106,10%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Daniel Gafford,,,PF,3500,CHI,@POR,1,110,,,105,109,-2%,2,3,3,12,14,10,9.4,8.3,-2.4,18.9,10.5,10.0,2.9,7.9,7.0,2.0
Justin Wright-Foreman,,O,PG,3500,UTA,@MEM,1,115,,,107,110,9%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
